質問,回答,
遠赤外線電子熱分解装置（LRAD）の原理は？,炉底に敷き詰めたセラミクス粉末を、下面よりヒータｰで加熱すると遠赤外線が発生します。そこに廃棄物を投入するとセラミクスからの遠赤外線を受け投入物は熱分解（有機化合物を低酸素状態で加熱することによって行われる化学反応）されます。最終的には有機物（投入物）は限界まで分解され、純度の高い無機パウダーとなります。,
電子（マイナスイオン）は何のためですか？,電子（マイナスイオン）は酸素を活性化し（活性酸素は通常の酸素分子よりも反応性が高い）、熱分解の反応を促進することで、熱の低下を抑えながら効率よく分解を進めるために必要です。,
どのようなものが処理できますか？,有機物（木材、ビニール、生ごみ、汚泥、畳、医療廃棄物、ジュータン、食品残渣（水分含有量70%程度））等です。,
処理できないものは？,無機物（石、ガラス、鉄等、金属、水、アルミニウム）等です。,
"1日に何㎥程度処理できますか？
（ペールBoxごと投入・処理できます）",LRAD-2000ですと、投入するもので違いが有りますが、感染性廃棄物を2.4㎥程度です。ペールBox（50ℓ）を1回で8箱、3時間おきに投入したとして最大64箱/日の処理を想定しています。,
装置の大きさは？,"LRAD-2000：全高：2,895　×　全幅：5,750　×　奥行：2,500mm（投入用階段含む）
現在は１サイズのみになりますが、納入先のご希望に合わせてサイズ、仕様等のカスタマイズが可能です。",
1日に何回投入できますか？,"投入口の容量は約400ℓで、満タンに投入した場合、約3時間で減容化されます。そのため、次の投入まで約3時間の間隔を空けることを推奨します。（満タンで投入した場合）
日中のみ投入する場合は1日3回、自動運転で3時間ごとに投入する場合は最大8回の投入が可能です。※投入部を長く開けておくと酸素が入り燃焼することがあるので注意が必要です。",
どのくらいで処理ができますか？,投入するもので違いがありますが、約３時間で減容化され、１週間ほどでセラミックス粉末になります。,
処理後の廃棄物はいつ取り出しますか？,処理後の廃棄物は、最終的に約1/200まで減容化されるため、頻繁な排出は必要ありません。 長時間炉内に保持することで、極限まで熱分解を進めることができるため、月に1回の排出でも問題ありません。 また、排出は制御盤のボタン操作だけで自動化されており、簡単に行えます。,
作業者に資格は必要ありますか？,特にありません。導入時には、弊社スタッフが約3週間のトレーニングを行います。,
毎日の作業はどのようなものですか？,基本、廃棄物の投入作業のみになります。月に1回ほど点検を兼ねて副産物の回収を行います。,
可動するのに電気や油はどれくらい使用しますか？,補助燃料である油は、一切使いません。電気は、装置立ち上げ時と排ガス処理のための電熱ヒーター、電子空気の給気ファンのみ220V使用します。,
設備はどのようなものが必要ですか？,水平な設置場所にカーポートのような屋根、設置場所によっては周囲の囲い、電源（220V）が必要です。,
臭いや排気はどうですか？,臭いおよび有毒物（環境基準以下です）は、排ガス処理炉内で熱分解処置されて限りなく消臭されます。排気は、わずかに水蒸気が出るようなものとなっています（動画あり）。,
排ガスはどのように処理されているのですか？,"排ガスの主成分はCO（一酸化炭素）やO₂（酸素）です。 排ガス処理炉には電熱ヒーターを設置し、600℃以上の高温環境を維持することで、排ガスを自熱分解させています。（一酸化炭素の発火点は609℃とされています。）
なお、本システムではガスバーナーなどの燃焼装置を一切使用していません。",
